,model.name,model.title,citation.openAccessPdf,manual,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes,MCLLM,MC
103,PNAS-net,Progressive Neural Architecture Search,https://www.mdpi.com/2073-431X/12/9/174/pdf?version=1693565686,Background,,"Similarly, the majority of recent literature on AutoML for DL models concentrates on automating the design of DL models through the neural architecture search (NAS) process [24–28].",No,,No,,,background,background
104,GPT-4,GPT-4 Technical Report,https://arxiv.org/pdf/2310.08889,Background,,"Further, as large language models (LLMs) are drawing much attention in the NLP community, how strong LLMs behave in connecting discrete and continuous space perturbations remains unexplored, especially when GPT-4 (OpenAI, 2023) is known to support images and texts. As these models are not open-source to the public, we leave exploring the perturbation in LLMs in future works.",No,,No,,,future_work,future_work
106,Ankh_base,Ankh ☥: Optimized Protein Language Model Unlocks General-Purpose Modelling,https://www.biorxiv.org/content/biorxiv/early/2024/02/01/2024.01.29.577750.full.pdf,Uses,,"Using these mined sequences, we finetuned the complete encoder-decoder Ankh base model27
.
As a masking strategy, we employ unigram T5 span masking (Experiment 4 in the Ankh paper27)
and dynamically sample new masking tokens every epoch. We set the maximum sequence
length to 512 and randomly select 20% of tokens for masking, following the approach described
in the Ankh paper",No,,Yes, fine tuned,,uses,uses
107,Contriever,Unsupervised Dense Information Retrieval with Contrastive Learning,http://arxiv.org/pdf/2302.01626,Background,,"mContriever (Izacard et al., 2021b) and CCP (Wu et al., 2022a) similarly mine positive pairs by cropping two spans in a document. T",No,,No,,,background,background
108,Two-stream ConvNets for action recognition,Two-Stream Convolutional Networks for Action Recognition in Videos,http://arxiv.org/pdf/2305.01111,Background,,Mentioned in a table,No,,No,,,extends,uses
109,AlphaX-1,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search,https://ojs.aaai.org/index.php/AAAI/article/download/17233/17040,Background,,"We compare BANANAS to a host of popular NAS algorithms including random search (Li and Talwalkar 2019), DARTS (Liu, Simonyan, and Yang 2018), regularized evolution (Real et al. 2019), BOHB (Falkner, Klein, and Hutter 2018), NASBOT (Kandasamy et al. 2018b), local search (White, Nolen, and Savani 2020), TPE (Bergstra et al. 2011), BONAS (Shi et al. 2019), BOHAMIANN (Springenberg et al. 2016), REINFORCE (Williams 1992), GP-based BO (Snoek, Larochelle, and Adams 2012), AlphaX",No,,No,,,uses,uses
110,ALBERT-xxlarge,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://dl.acm.org/doi/pdf/10.1145/3583781.3590259,Background,,"Since the
introduction of the first transformer in 2017 [2], powerful
transformer-based pre-trained natural language processing (NLP)
models, such as BERT [3] and Albert [4], and computer vision
models, such as the Vision Transformer [5] have emerged.",no,,Yes,Albert ,,background,background
112,PreTrans-3L-250H,Speech recognition with deep recurrent neural networks,https://www.mdpi.com/2073-4433/14/3/542/pdf?version=1678952808,Background,,"They
incorporate a feedback loop in which the output of the RNN layer is taken as an input into
the next layer. Hence, RNNs are especially viable for analyzing time series in problems
related to text generation [69], speech recognition [70], or forecasting tasks [71].",no,,no,,,background,background
113,ObjectNet,ObjectNet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,https://arxiv.org/pdf/2212.04825,Background,,"We also show the results of LLE on other OOD variants of ImageNet, including ImageNet-A [37] (IN-A), ImageNetV2 [69] (IN-V2), ObjectNet [9], and ImageNet-D [71,72] (IN-D). IN-D has rendition images similar to IN-R except for having additional domain annotations, e.g., clipart, infograph, etc.",yes,ImageNet-W,no,,,uses,uses
114,DLRM-2020,Deep Learning Recommendation Model for Personalization and Recommendation Systems,http://arxiv.org/pdf/2206.02626,Background,,"On the contrary, for recommendation tasks, there always has been a debate of linear vs. non-linear
networks [29, 65], along with the importance of increasing the width vs. depth of the network
[11, 39].",yes,DISTILL-CF,no,,,background,background
115,Once for All,Once for All: Train One Network and Specialize it for Efficient Deployment,https://arxiv.org/pdf/2102.05610,Background,,"When
designing fast models for inference with NAS, previous
work employed multi-objective search [53, 17, 12, 27, 61,
25, 11, 20, 37, 15] to consider accuracy together with performance/efficiency.",yes,EfficientNet-X,no,,,background,background
116,T5-3B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://www.nature.com/articles/s41598-023-48594-4.pdf,Uses,,"a. We use a pretrained Opus-MT-based53 sequence-to-sequence model pretrained on the English-French language for back translation. T5 abstractive summarization: To address the issue of data scarcity, text summarization is conducted on input texts, generating concise summaries by employing the T5-large model5",no,,yes,t5-large,,uses,uses
117,BIDAF,Bidirectional Attention Flow for Machine Comprehension,https://arxiv.org/pdf/2010.10019,Uses,,"Even though our results are behind [2], we wish to point out that their context matching model with the bi-directional attention flow (BiDAF) [55] significantly contributes to the performance.",no,,yes,biDAF,,similarities,similarities
118,VD-RHN,Recurrent Highway Networks,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09762315.pdf,Background,,"For example, the quality of neural language modeling [11] was significantly improved by using Highway layers [12], [13] or tying input and output embeddings [14].",no,,no,,,background,background
119,EfficientNet-L2,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://www.mdpi.com/2072-6694/16/2/430/pdf?version=1705650909,Uses,,"The ResNet 50 [38], EfficeientNet B3 [39], and ConViT (Small) [40] models were fine-tuned on the LVI datasets.",yes,ensemble,yes,finetuned,,uses,uses
120,Hybrid H3-2.7B,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,http://arxiv.org/pdf/2305.13504,Background,,"Moreover, state space models [64, 66, 65, 39] are getting popular at handling long-range dependencies better than transformer architecture and exploring this direction for code generation is an interesting and exciting research direction.",no,,no,,,background,background
122,Pointer Sentinel-LSTM (medium),Pointer Sentinel Mixture Models,https://arxiv.org/pdf/2012.04632,Background,,"Other well-known approaches to address this challenge are [ 9 ,14 , 6 ,16 ,17 , 4]. In this paper, we argue that a key step in designing recurrent neural architectures is to understand the decay of dependence in sequential data and to use this understanding to inform the setting of the relevant hyper-parameters of the architecture.",yes,DilatedRNNs,no,,,background,background
123,FAST,Machine Learning for High-Speed Corner Detection,https://arxiv.org/pdf/2109.00210,Background,,"The image-based local feature extraction and description can be grouped into hand-crafted [22, 6, 32] and deep-learned [9, 40, 13, 35, 31] methods.",no,,no,,,background,background
124,PyramidNet,Deep Pyramidal Residual Networks,http://arxiv.org/pdf/2209.08473,Uses,,"Finally, according to the theory of [26] and [17], wider models are more easily interpreted as convex minimization problems.",yes,Wide PyramidNet272,yes,Wide PyramidNet272,,background,background
125,Transformer local-attention (NesT-B),"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",https://arxiv.org/pdf/2308.05128,Background,,"This field is evolving rapidly, so methods such as transformers [53], large language models [5], knowledge distillation [8], wild and large datasets [31], unsupervised learning [9], and matching loss functions [44], etc. are constantly advancing the state-of-the-art. L",yes,N3HL153gpt,no,,,background,background
126,FTW,Human-level performance in 3D multiplayer games with population-based reinforcement learning,https://arxiv.org/pdf/2109.10665,Background,,"It has powerful representation learning and function approximation properties to be applied across various fields [17], [18], e.g., games [19] and robotics [20].",No,,No,,,background,background
127,Transformer ELMo,Dissecting Contextual Word Embeddings: Architecture and Representation,https://www.aclweb.org/anthology/2020.emnlp-main.397.pdf,Background,,"found the reference, couldnt find it in the text",,,,,,background,background
128,StarGAN v2,StarGAN v2: Diverse Image Synthesis for Multiple Domains,https://dl.acm.org/doi/pdf/10.1145/3588432.3591500,Background,,"found the reference, couldnt find it in the text",,,,,,background,background
129,Agent57,Agent57: Outperforming the Atari Human Benchmark,https://www.mdpi.com/2079-9292/12/16/3508/pdf?version=1692357476,Background,,". For instance, though Agent57 [8] stands as the premier deep reinforcement learning algorithm capable of surpassing the average human player across all 57 Atari games, it generally mandates orders of magnitude more interactions than its human counterpart.",yes,E2S2RND,no,,,background,background
130,LaMDA,LaMDA: Language Models for Dialog Applications,https://arxiv.org/pdf/2308.09490,Background,,"While some large-scale models are completely closedsource, such as OpenAI’s GPT-3 [3] or Google’s Bard [49], and are only accessible through an API, many other models are available as open-source models, usually including the code to train",no,,no,,,background,background
132,ProxylessNAS,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,https://dl.acm.org/doi/pdf/10.1145/3584945,Background,,"Differentiable methods [5, 22, 38, 65, 73] have been widely used in the image classification task.",yes,fine grained PAS-NE,no,,,background,background
133,Wide & Deep,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",https://www.biorxiv.org/content/biorxiv/early/2023/10/12/2023.09.19.558413.full.pdf,Uses,,"The positive interactions were extracted from STRING (version 11) [56], a database encompassing diverse PPI networks and consolidating comprehensive information from various primary sources.",yes,SENSE-PPI,yes,version 11,,uses,uses
134,Thumbs Up?,Thumbs up? Sentiment Classification using Machine Learning Techniques,https://www.mdpi.com/1424-8220/21/4/1330/pdf?version=1613983067,Background,,"The most common way to do that is by analyzing certain traits of words (commonly their frequency within the text) [32,34]",no,,no,,,background,background
136,DITTO,Learning to Break the Loop: Analyzing and Mitigating Repetitions for Neural Text Generation,https://arxiv.org/pdf/2310.01041,Background,,Xu et al. (2022) proposed the DITTO objective that penalizes sentence-level repetition loop.,yes,DAEMON,no,,,background,background
137,Convolutional Pose Machines,Convolutional Pose Machines,http://nrl.northumbria.ac.uk/id/eprint/43318/1/Paper.pdf,Background,,could not find citation in text,,,,,,background,background
138,Enhanced Neighborhood-Based Filtering,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights,https://www.atlantis-press.com/article/125950416.pdf,Background,,An incremental algorithm to update user factors is presented [25] by utilizing a simple method of the batch process.,no,,no,,,background,background
139,Prototypical networks,Prototypical Networks for Few-shot Learning,https://arxiv.org/pdf/2307.07286,Uses,,"For example, Snell et al. [32] presented the Prototypical Networks that compute distances between a datapoint and class-wise prototypes",yes,no name,yes,ProtoNet,,background,background
140,Pandemonium (morse),Pandemonium: a paradigm for learning,https://karger.com/ofa/article-pdf/2/6/374/3300852/000260906.pdf,Background,,"To a point, the mission of such constellations of molecules might be compared with the recognition of real-life patterns, such as handwritten characters formulated by Oliver Selfridge 50 years ago in a whimsically named feature-analysis approach, the ‘Pandemonium model’ [34, 35]",no,,no,,,background,background
141,ReLU (LFW),Rectified Linear Units Improve Restricted Boltzmann Machines,https://link.springer.com/content/pdf/10.1007/s44196-023-00366-8.pdf,Uses,,"In Eq. (5), a two-layer fully connected feed forward network with Rectifed Linear Units (ReLU) activation [34].",yes, (LN‑GTM),yes,ReLu,,uses,uses
142,Make-A-Video,Make-A-Video: Text-to-Video Generation without Text-Video Data,http://arxiv.org/pdf/2303.17599,Uses,,"Leveraging a pre-trained text-to-image diffusion model, MakeA-Video [34] performs video generation through a spatialtemporal decoder trained only on unlabeled video data.",yes,vid2vid-zero,yes,Make-A-Video,,background,background
143,Transformer local-attention (NesT-B),"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",https://arxiv.org/pdf/2301.10750,Background,,ResNeSt is a modularized architecture that uses channel-wise attention to focus on various network branches to take advantage of their success in capturing cross-feature interactions and learning various representations [78].,yes,ConvNext,yes,ResNet,,background,background
144,Switch,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,https://arxiv.org/pdf/2211.08842,Background,,"Meanwhile, PTMs are also getting bigger and bigger. In the past two years, large models with trillions of parameters are popping up around the world, including GPT-3 [15], Switch Transformer [16], and M6 [17].",yes,ELBERT model and the acceleration method,no,,,background,background
145,EfficientDet,EfficientDet: Scalable and Efficient Object Detection,http://arxiv.org/pdf/2303.04884,Uses,,". EfficientDet (Tan et al., 2020), an augmented variant of YOLOv3, exploits a pyramid network to enable the detection of scaling targets",yes,O2RNet-ResNet101,yes,"EfficientDet-b0 (Oerke, 2006) 0.45 0.89 0.85 0.30 0.82 0.71 0.77 EfficientDet-b1 (Oerke, 2006) 0.45 0.89 0.86 0.30 0.82 0.72 0.77 EfficientDet-b2 (Oerke, 2006) 0.46 0.89 0.87 0.30 0.82 0.73 0.78 EfficientDet-b3 (Oerke, 2006) 0.49 0.93 0.91 0.32 0.84 0.75 0.81 EfficientDet-b4 (Oerke, 2006) 0.50 0.94 0.92 0.34 0.88 0.78 0.82 EfficientDet-b5 (Oerke, 2006)",,background,background
146,VGG16,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://www.mdpi.com/2306-5354/11/1/19/pdf?version=1703413051,Background,,"Research has constantly improved network architecture around this fundamental principle, including architectural milestones like VGG [87], ResNet [88], Xception [89], or EfficientNet [90].",no,,no,,,background,background
147,PolyCoder,A systematic evaluation of large language models of code,http://arxiv.org/pdf/2302.05226,Background,,couldnt find citation in text,,,,,,background,background
148,DrLIM,Dimensionality Reduction by Learning an Invariant Mapping,https://link.springer.com/content/pdf/10.1007/s11042-023-14876-2.pdf,Background,,"For example, the contrastive loss [7] needs to construct sample pairs to train the model.",yes,ResNet-MLB,no,,,background,background
149,DiT-XL/2,Scalable Diffusion Models with Transformers,https://arxiv.org/pdf/2307.02270,Background,,"Recently, denoising diffusion models demonstrating great potential in various computer vision fields including super-resolution [52], [53], image generation [54]–[61], object detection and segmentation [62]–[65], etc.",yes,SVDM,no,,,background,background
150,Naive Bayes,Pattern classification and scene analysis,https://sol.sbc.org.br/index.php/ercemapi/article/download/21955/21778,Uses,,"Finally, the resulting image is normalized between 0 and 1. To evaluate the efficiency of the method used, the following validation metrics: accuracy (Acc), sensitivity (Sens), specificity (Spec), and area under roc curve (AUC) [Duda 1973].",yes,no name,yes,?,,uses,uses
151,ConvNet similarity metric,"Learning a similarity metric discriminatively, with application to face verification",http://arxiv.org/pdf/2303.05161,Background,,"Segregation of class manifolds is a powerful conceptualisation that informs the design of distancebased losses in metric learning and contrastive learning [13–17] and underlies several approaches aimed at quantifying expressivity and generalisation, in artificial neural networks as well as in neuroscience [18– 23].",no,no name,no,,,background,background
152,YOLOv3,YOLOv3: An Incremental Improvement,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0296992&type=printable,Extends,,Examples of one-stage algorithms include the Single-Shot Multibox Detector (SSD) series [10] and the You Only Look Once (YOLO) series [11–17].,yes,YOLOv7-LDS. YOLOv7-LDS,yes,YOLOv7-LDS. YOLOv7-LDS,,background,background
153,AbLang,AbLang: an antibody language model for completing antibody sequences,https://www.nature.com/articles/s42004-023-01037-7.pdf,Uses,,"Finally, since LLMs have shown promising results on similar tasks, we also used an antibodyspecific pretrained LLM (AbLang22)",yes,,yes,AbLang,,uses,uses
154,HMM Word Alignment,HMM-Based Word Alignment in Statistical Translation,https://www.mdpi.com/2297-8747/24/1/14/pdf?version=1551266155,Background,Uses,Word alignment was also studied in connection with statistical translation by using a HMM by Vogel et al.,No,,Yes,Hidden Markov Models (HMMs) ,"Interesting application of HMM to the field of linguistics. The Voynich manuscript is an undeciphered script that we are still trying to decipher today. This paper aims to use HMM to prove that this manuscript is neither a hoax nor intentional cipher, but an actual language, through having the model identify evidence of the existence of two states associated with the symbols in the manuscript (like the consonants and vowels in English). ",background,background
155,Gated HORNN (3rd order),Higher Order Recurrent Neural Networks,https://arxiv.org/pdf/2206.01261,Motivation,,"In the context of recurrent models, (Soltani and Jiang, 2016) introduced weighted skip connections between subsequent states of an unfolded RNN learn long-term dependencies.",No,,Yes,"CNN, RNN",Introducing entangled residual mappings as a method of understanding the role of residual mappings across different learning models while preserving the iterative feature refinement. ,background,background
156,FAIRSEQ Adaptive Inputs,"fairseq: A Fast, Extensible Toolkit for Sequence Modeling",https://arxiv.org/pdf/2201.05742,Uses,,We use RoBERTa as the backbone of Kformer and implement our method using Facebook’s tool fairseq [13],Yes,Kformer,Yes,Kformer,,uses,uses
158,ESM1-670M (UR50/D),Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcb.30490,Uses,,"We reviewed and compared the most recent and frequently used DL‐based protein embeddings (namely: UniRep,20 SeqVec,21 ProteinBERT,25 and ESM‐1b23) in predicting transporter proteins and their relative substrates, in combination with several machine learning approaches.",Yes,PortPred,Yes,PortPred,,uses,uses
159,Spatially-Sparse CNN,Spatially-sparse convolutional neural networks,https://arxiv.org/pdf/1703.09438,Motivation,,"Our approach is largely inspired by Graham’s sparse convolutional networks [16, 17], which enable efficient shape analysis by storing a sparse set of non-trivial features instead of dense feature maps.",Yes,Octree Generating Networks (OGN),Yes,Octree Generating Networks (OGN),"Interesting application of OGNs to create high resolution 3D outputs, such that the higher the octree level, the more efficient the representation is.",uses,uses
160,XGLM,Few-shot Learning with Multilingual Language Models,http://arxiv.org/pdf/2208.01448,Background,Differences,"We show that AlexaTM 20B provides SOTA performance in zero-shot setting for all of these tasks, across all supported languages, improving on previous SOTA achieved by the XGLM 7.5B model (Lin et al., 2021).",Yes,AlexaTM 20B,Yes,AlexaTM 20B,Evaluates how AlexaTM 20B has overall better performance than other models (which includes the XGLM 7.5B model referenced).,differences,differences
161,,,,Similarities,,"The CLM mode is similar to the way previous large-scale decoder-only models have been using these models for generation and scoring for in-context learning (Brown et al., 2020b; Chowdhery et al., 2022; Lin et al., 2021).",,,,,,similarities,similarities
162,,,,Differences,,"Additionally, we evaluate AlexaTM 20B on a few multilingual datasets including XNLI, XCOPA, Paws-X, and XWinograd and show that AlexaTM 20B achieves SOTA numbers in zero-shot on all these tasks across all languages better than XGLM 7.5B model (Lin et al., 2021).",,,,,,uses,uses
163,,,,Differences,,"As can be seen, AlexaTM 20B outperforms the supervised M2M-124 615M model from Goyal et al. (2022) and XGLM 7.5B, which is a multilingual decoder-only model (Lin et al., 2021), across almost all pairs.",,,,,,differences,differences
164,,,,Background,,We follow Lin et al. (2021) and evaluate AlexaTM 20B on four multilingual data sets to evaluate its performance on non-English tasks.,,,,,,uses,uses
165,,,,Differences,,"As can be seen in Table 10, AlexaTM 20B performs better or on par to XGLM 7.5B (Lin et al., 2021) across all tasks and languages (supported by both models).",,,,,,similarities,similarities
166,,,,Background,,XGLM 7.5B numbers for XNLI and XCOPA are as reported by Lin et al. (2021).,,,,,,uses,uses
167,,,,Differences,,"Among public multilingual encoders, the most successful efforts include mBERT (a version of BERT pre-trained on Wikipedia in 104 languages), mBART (Liu et al., 2020b), XLM-R (Conneau et al., 2020), and XGLM (Lin et al., 2021).",,,,,,background,background
168,T5-3B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/pdf/2312.05092,Uses,,"CodeT5 [62] uses the T5 architecture [63], which unifies all tasks as text generation tasks",No,,Yes,"CodeBERT, CodeBERTa, GraphCodeBERT, JavaBERT, PLBART, CodeT5, UniXCoder, CodeReviewer","Doesn't further train the pre-trained models, just want to analyze the extent that these pre-trained models learn about the specific aspects of source code through probing. ",background,background
170,ViT-Base/32,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://bmcmedimaging.biomedcentral.com/counter/pdf/10.1186/s12880-023-01177-1,Background,,"In order to further highlight the efect of our model,we compare the proposed method with four methods: Efcient-b2 [14], Resnet34 [8], Swin transformer [15], and Vision transformer [16], as show in Fig. 9",No,,Yes,ResNet,Impactful extension of attention-enhanced architecture in the medical field to better identify pneumonia in chest X-ray images,uses,uses
171,BiLSTM for Speech,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,https://www.mdpi.com/2220-9964/12/3/98/pdf?version=1677404230,Motivation,,"With the same or similar setup parameters, a bidirectional network achieved more desired results than a unidirectional network in many fields [58].",Yes,Att-DBGRU,Yes,Att-DBGRU,Interesting use of AI models to deciding how to manage tourist attractions by forecasting tourism volume. ,background,background
172,Learning deep architectures,Learning Deep Architectures for AI,https://www.nature.com/articles/s41598-023-35190-9.pdf,Uses,,Deep learning utilizes layers of non-linear processing elements for feature extraction and conversion.,No,,Yes,"You Only Look Once (YOLO), Single Shot Detector (SSD)",Good example of how AI models can be used in the real world for security - in this case an early weaopn detection framwork by using CNN-based models like YOLO and SSD. ,background,background
173,Zoneout + Variational LSTM (WT2),Pointer Sentinel Mixture Models,http://arxiv.org/pdf/2207.09519,Similarities,,"The cache model has been equipped on various models to boost the performance for vision or language models, including kNNLMs [30], Unbounded Cache [18], Matching Network [60] and others [43,53].",Yes,Tip-Adapter,Yes,"Tip-Adapter, Contrastive Vision-Language Pre-training (CLIP)",Purpose of citation: to say that these others models also equipped the cache models in their models to boost performance for vision and language models. ,background,background
174,LeNet-5,Gradient-based learning applied to document recognition,https://www.nature.com/articles/s41598-023-49334-4.pdf,Background,,"Due to the increase of convolution layer, successive multi-layer gradient multiplication may cause minimum amount of information that is captured according to the chain rule in back-propagation, resulting in the problems of Gradient Vanishing and Gradient Exploding and the decline of the accuracy of the training set.",No,,Yes,"ResNet50, SVR",Impactful example of how using the ResNet50 + SVR model combination can help rapidly conduct an excellent evaluation of pulmonary function parameters when patients cough. This is helpful especially since traditional clinical evaluations of respiratory diseases involve a complex process that the pateitns can't monitor daily.,motivation,motivation
175,Context-dependent RNN,Context dependent recurrent neural network language model,https://www.aclweb.org/anthology/N15-1186.pdf,Motivation,,"Many recent proposals in the literature use wordrepresentations as the basic units for tackling sentence-level tasks such as language modeling (Mnih and Hinton, 2007; Mikolov and Zweig, 2012), paraphrase detection (Socher et al., 2011a), sentiment analysis (Socher et al., 2011b), discriminative parsing (Collobert, 2011), as well as similar tasks involving larger units such as documents (Glorot et al., 2011; Huang et al., 2012; Le and Mikolov, 2014).",Yes,"SG, SG+Morph",Yes,"SG and SG+Morph models trained from scratch, for all languages that they considered","Cool example of a method for training models to discover morphological rules in languages. The citation mentions previous works that have developed language models for generation of words, but also mentions that these models treated words as units and neglected the relationship between the words, thereby affecting the word semantics. This paper presents a method for analyzing these relationships between the words, so that models are able to account for word semantics. ",background,background
176,PLATO-XL,PLATO-XL: Exploring the Large-scale Pre-training of Dialogue Generation,http://arxiv.org/pdf/2206.14000,Extends,,"We experiment on multiple Chinese pretrained language models, including T5 (Xue et al., 2021), BART (Liu et al., 2020), EVA2.0 (Gu et al., 2022), and PLATO (Bao et al., 2021b).",No,,Yes,"PLATO-SINC, PLATO, PLATO-FT, PLATO-FID, BART, T5, EVA2.0",,uses,uses
177,Elastic weight consolidation,Overcoming catastrophic forgetting in neural networks,http://arxiv.org/pdf/2306.08200,Background,,"One approach is to constrain the parameters of the model learned on a new task to deviate little from their values before this learning, e.g. by using distillation [1–4] or parameter regularization [5, 6] methods.",Yes,Prompt Of Prompts (POP),Yes,Prompt Of Prompts (POP),,background,background
178,,,,Background,,"EWC [5], GEM [21] and NSCL [6], on the other hand, suggested to constrain the gradient and parameters of the model, so as to remain close to those of the old model.",,,,,,background,background
179,RBM Image Classifier,Learning Multiple Layers of Features from Tiny Images,https://arxiv.org/pdf/2312.04918,Uses,,We started by training a standard VGG-16 [11] on the CIFAR-10 dataset [42],No,,Yes,"ResNet50, MobileNetV2",,uses,uses
180,Support Vector Machines,Support-Vector Networks,https://www.ias-iss.org/ojs/IAS/article/download/2928/1181,Uses,,"SVMs (Cortes and Vapnik 1995) are supervised learning method for classification, regression, and outlier’s detection",Yes,HSI classification (modification of Minimum Noise Fraction (MNF) + Edge Preserving Features (EPFs)),Yes,Support-vector networks,,background,background
181,VGG16,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://www.nature.com/articles/s41598-023-49739-1.pdf,Background,,The most famous algorithm utilized for speeding up the evaluation of the gradient and for providing training to the neural networks is backpropagations. ,Yes,CNN-based model that isn't specifically named,Yes,"CNN-based model that has convolutional layers, fully-connected layers, and the output",Using CNNs to classify human activity recognition (HAR) tasks ,background,background
182,UL2,UL2: Unifying Language Learning Paradigms,https://arxiv.org/pdf/2307.12856,Uses,,"It is pre-trained using a mixture of long-span denoising objective (Tay et al., 2022) on a large-scale HTML corpus extracted from CommonCrawl.",Yes,HTML-T5,Yes,HTML-T5,,uses,uses
187,BatchNorm,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,https://researchopenworld.com/wp-content/uploads/2023/10/CST-8-833.pdf,Background,,"Importantly, these studies identified instances of cancer even in men in their twenties, with a prevalence ranging from 8% to 11%, highlighting the long period of latency between the development of prostate cancer and the appearance of symptoms in some individuals [19,20].",Yes,modified CNN system,Yes,modified CNN system - hybrid CNN-Deep Learning technique (CNN-RNN),,background,background
188,,,,Motivation,,Deep Learning [19] systems are built just for that purpose (Figure 4).,,,,,,background,background
216,Xception,Xception: Deep Learning with Depthwise Separable Convolutions,https://arxiv.org/pdf/2308.12494,Differences,Future Work,"To improve this, Xception [7] proposes to use separable convolution, a depthwise convolution followed by a pointwise convolution, which requires visiting each pixel only once by depthwise convolution.",no,,no,,"Not a model, but a roadmap to improve image recognition models. Quote: ""Extensive experiments demonstrate that our approach decreases runtime by up to 13% and reduces the number of parameters by up to 23%, while increasing PSNR and SSIM on several image restoration datasets.""",background,background
217,KEPLER,KEPLER: A Unified Model for Knowledge Embedding and Pre-trained Language Representation,https://aclanthology.org/2021.findings-emnlp.292.pdf,Extends,,"KEPLER(Wanget al., 2019) uses Knowledge Embedding objective, i.e., TransE, to guide embedding encoded over entity description.",yes,Relation-Guided Pre-Training (RGPT-QA),no,,It proposes a framewrok model that can more accurate answer QA than privious models.,background,background
218,,,,Differences,,"From the table,KEPLER trained via TransE performs slightly better than KnowBERT trained via entity linking, and RGPT-QA out performs KEPLER by 2.8%, 2.1%, 5.7% on the three datasets.",yes,Relation-Guided Pre-Training (RGPT-QA),no,,It proposes a framewrok model that can more accurate answer QA than privious models.,differences,differences
219,GShard (dense),GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,http://arxiv.org/pdf/2303.10845,Extends,,"Comparing to the expensive computational cost for training dense Transformer model, sparse architectures such as Mixtureof-Experts (MoE) [13, 14, 15, 22] are considered to be an appealing choice to scale model size up without incuring linear increase in computational cost.",yes,PanGu-Σ,yes,Ascend 910 AI,"PanGu-Σ provides state-of-the-art performance in zero-shot learning of various Chinese NLP downstream tasks. Moreover, it demonstrates strong abilities when f ine-tuned in application data of open-domain dialogue, question answering, machine translation and code generation.",background,background
220,WGAN-GP,Improved Training of Wasserstein GANs,https://arxiv.org/pdf/2309.13508,Extends,,"Because the gradient penalty enforces the Lipschitz constraint on the critic, limiting its update, we had to increase the number of critic training iterations per actor iteration to 5, a recommended value in WGAN-GP [14].",yes,Guided Cooperation via Modelbased Rollout (GCMR),yes,hierarchical reinforcement learning (HRL),"Here, we present a goal-conditioned HRL framework with Guided Cooperation via Modelbased Rollout (GCMR) 1 , which estimates forward dynamics to promote inter-level cooperation. The GCMR alleviates the state-transition error within off-policy correction through a model-based rollout, further improving the sample efficiency.",uses,uses
221,Transformer local-attention (NesT-B),"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",http://arxiv.org/pdf/2304.13991,Extends,,"In Zhang et al. [40], a convolution is used to aggregate hierarchical transformer blocks in their Nested Hierarchical Transformer (NesT).",no,no,yes,Vision Transformers (ViT),"In addition, to use the CNN, we proposed to reconstruct the image data after the self-attention in a reverse embedding layer. Through the evaluation, we demonstrate that the proposed convolutions help improve the classification ability of ViT.",background,background
222,,,,Extends,,"NesT incorporates a convolution into the aggregation function of hierarchical Transformer blocks. NesT-T is used for the evaluation which includes three hierarchical layers of 8, 4, and 1 Transformer blocks each.",no,no,yes,Convolutional Neural Networks (CNN),"In addition, to use the CNN, we proposed to reconstruct the image data after the self-attention in a reverse embedding layer. Through the evaluation, we demonstrate that the proposed convolutions help improve the classification ability of ViT.",uses,uses
